"60690","62140","1.0000"
"24147","28156","1.0000"
"23297","32695","1.0000"
"23842","62020","1.0000"
"37177","62020","1.0000"
"20836","23266","1.0000"
"69931","62020","1.0000"
"40008","62302","1.0000"
"27083","61366","1.0000"
"21882","26510","1.0000"
"60360","20876","1.0000"
"23710","33207","1.0000"
"23452","61378","1.0000"
"22487","26927","1.0000"
"1","62336","1.0000"
"34396","61386","1.0000"
"33775","61807","1.0000"
"70630","61891","1.0000"
"23247","49765","1.0000"
"21873","61896","1.0000"
"15940","20977","1.0000"
"24654","61391","1.0000"
"32641","62484","1.0000"
"28205","40140","1.0000"
"27650","62347","1.0000"
"57501","40140","1.0000"
"22720","21175","1.0000"
"57501","61821","1.0000"
"24710","50628","1.0000"
"57778","50628","1.0000"
"21186","21962","1.0000"
"20667","22515","1.0000"
"25277","38041","1.0000"
"39187","62510","1.0000"
"27840","62543","1.0000"
"35419","62200","1.0000"
"34221","62551","1.0000"
"70284","62200","1.0000"
"70242","62073","1.0000"
"23141","22043","1.0000"
"25308","62358","1.0000"
"40008","20639","1.0000"
"21613","62360","1.0000"
"20548","23895","1.0000"
"24162","61964","1.0000"
"69183","42558","1.0000"
"61778","21248","1.0000"
"20707","24162","1.0000"
"24340","34780","1.0000"
"34959","22194","1.0000"
"43102","27600","1.0000"
"23297","62222","1.0000"
"28301","24296","1.0000"
"37722","22245","1.0000"
"28762","35333","1.0000"
"52993","62117","1.0000"
"21983","20773","1.0000"
"33501","62223","1.0000"
"58570","21393","1.0000"
"20548","53941","1.0000"
"25131","61973","1.0000"
"51524","20550","1.0000"
"44303","61973","1.0000"
"68683","61973","1.0000"
"44303","61280","1.0000"
"59005","61979","1.0000"
"20806","62244","1.0000"
"34969","61307","1.0000"
"21234","29295","1.0000"
"23150","61312","1.0000"
"27534","62248","1.0000"
"34167","62428","1.0000"
"40008","62123","1.0000"
"68483","62264","1.0000"
"20763","62005","1.0000"
"23100","61208","1.0000"
"45588","62281","1.0000"
"28316","22981","1.0000"
"33057","61208","1.0000"
"59138","61208","1.0000"
"27669","62290","1.0000"
"3","62293","1.0000"
"28789","37240","1.0000"
"73078","62448","1.0000"
"68308","62293","1.0000"
"21546","62140","1.0000"
"28301","62140","1.0000"
"69585","62140","1.0000"
"21585","22489","1.0000"
"32641","32695","1.0000"
"26085","62020","1.0000"
"21394","61344","1.0000"
"28789","62458","1.0000"
"49604","62020","1.0000"
"2","62302","1.0000"
"72642","62302","1.0000"
"28789","61354","1.0000"
"26875","26543","1.0000"
"25523","25086","1.0000"
"21797","61371","1.0000"
"27840","20612","1.0000"
"65329","62156","1.0000"
"29334","20917","1.0000"
"26052","62159","1.0000"
"23779","62336","1.0000"
"29264","62474","1.0000"
"70082","28382","1.0000"
"67675","61892","1.0000"
"28789","61896","1.0000"
"21192","40140","1.0000"
"60360","21099","1.0000"
"38626","40140","1.0000"
"65704","40140","1.0000"
"40304","21175","1.0000"
"1","50628","1.0000"
"21178","15941","1.0000"
"27832","50628","1.0000"
"64055","50657","1.0000"
"23100","57532","1.0000"
"73950","62510","1.0000"
"22775","61684","1.0000"
"24037","22609","1.0000"
"71387","62543","1.0000"
"51375","62200","1.0000"
"72805","62552","1.0000"
"43099","51524","1.0000"
"57501","62358","1.0000"
"20800","62572","1.0000"
"26112","34111","1.0000"
"72754","62360","1.0000"
"22495","61963","1.0000"
"24254","62209","1.0000"
"58011","61964","1.0000"
"43099","61553","1.0000"
"22970","62096","1.0000"
"20666","44193","1.0000"
"55873","62112","1.0000"
"23045","21259","1.0000"
"28241","25538","1.0000"
"23011","61704","1.0000"
"23100","62117","1.0000"
"20964","62223","1.0000"
"68683","22245","1.0000"
"43099","20773","1.0000"
"69183","62223","1.0000"
"21394","61973","1.0000"
"27203","53941","1.0000"
"29230","61973","1.0000"
"23795","45296","1.0000"
"56393","61973","1.0000"
"3","27804","1.0000"
